n_gen	99_mu	37_mu	60_mu	114_mu	18_mu	-1_mu	73_mu	-5_mu	-4_mu	-3_mu	-2_mu	99_sig	37_sig	60_sig	114_sig	18_sig	-1_sig	73_sig	-5_sig	-4_sig	-3_sig	-2_sig	node.brow_mean	node.current_brow_mean_ln_prior_density	ln_posterior	
2000	1.000000	1.000000	1.000000	1.000000	-0.143176	25.248373	1.000000	-0.210373	2.698019	-0.686944	4.650955	1.500000	1.500000	1.500000	1.500000	1.500000	1.963126	1.500000	0.351039	0.414648	1.782755	1.269433	15.817906	-1.617612	-308.166272	
4000	1.000000	1.000000	1.000000	1.000000	-0.143176	37.358736	1.000000	-0.210373	2.698019	-0.686944	4.650955	1.500000	1.500000	1.500000	1.500000	1.500000	1.963126	1.500000	0.351039	0.414648	1.782755	1.269433	17.671340	-1.144287	-81.272213	
6000	50.776019	1.000000	1.000000	50.844458	-0.143176	47.860589	1.000000	49.942340	2.698019	-0.686944	50.582029	1.813366	1.500000	1.500000	1.920699	1.500000	1.813366	1.500000	1.837763	0.414648	1.782755	1.669970	16.103827	-1.320502	-3.776100	
8000	49.203480	50.104784	50.668642	49.068681	50.096695	48.825890	48.890616	49.196716	50.668642	49.847624	51.791160	2.419615	2.197789	1.907170	2.326300	2.122210	2.224029	1.817516	2.409775	1.964250	2.469299	1.940417	17.114244	-0.925464	-7.477596	
10000	51.888880	50.115174	48.722372	48.972900	52.807844	48.825890	47.259955	48.972900	50.259908	50.004511	50.658302	2.390130	2.553671	2.396866	1.971518	2.085836	2.224029	1.917786	1.971518	2.371073	2.478454	2.371073	17.332702	-0.974284	-7.820478	
12000	50.578797	51.328006	50.906074	50.022266	49.587619	50.111444	49.287562	50.167608	46.718433	49.097911	48.326138	2.015218	2.195977	2.236182	1.795045	2.190530	2.563174	2.272893	2.541024	1.594528	2.192511	2.210869	17.351882	-0.980849	-0.835486	
14000	49.977793	49.516183	50.104583	49.530456	49.824285	49.309945	50.494602	49.977793	50.009981	50.640010	51.067853	1.697416	1.996489	1.966618	1.540415	1.942900	2.563174	2.185065	1.697416	1.887085	1.840740	2.075768	16.734793	-0.954106	-6.884115	
16000	50.422557	50.916013	51.092644	50.284703	49.603878	48.379768	50.255394	49.922728	50.192066	50.968043	48.914967	2.070670	2.758451	2.195783	1.797494	2.426349	1.810595	2.199785	2.070670	1.999559	1.949169	2.195783	17.448478	-1.019505	-4.063699	
18000	53.565328	50.892064	51.999109	52.346649	51.725841	48.379768	48.954447	52.346649	50.054724	49.942600	48.914967	1.753457	2.322636	1.860508	1.832262	2.124713	1.810595	1.725390	1.832262	1.725390	2.295677	2.195783	18.684484	-2.337682	-11.067797	
20000	52.001444	48.112939	50.739841	51.097457	49.942600	48.379768	48.825085	51.097457	46.662563	49.942600	48.914967	1.836522	1.805326	1.860508	2.183591	1.877446	1.810595	1.983549	2.199228	2.103872	1.905520	2.195783	16.135862	-1.292306	-4.572546	
