n_gen	99_mu	37_mu	60_mu	114_mu	18_mu	-1_mu	73_mu	-5_mu	-4_mu	-3_mu	-2_mu	99_sig	37_sig	60_sig	114_sig	18_sig	-1_sig	73_sig	-5_sig	-4_sig	-3_sig	-2_sig	node.brow_mean	node.current_brow_mean_ln_prior_density	ln_posterior	
2000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
4000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
6000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
8000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
10000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
12000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
14000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
16000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
18000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
20000	1.000000	1.000000	1.000000	1.000000	1.000000	1.584145	1.000000	0.457790	1.000918	0.456231	2.953854	0.500000	0.500000	0.500000	0.500000	0.500000	0.745627	0.500000	0.648961	1.414648	2.782755	2.269433	1.066955	-4.490833	-21.312157	
